,title,overview,len,ger
26963,The Secret of Kells,"Adventure awaits 12 year old Brendan who must fight Vikings and a serpent god to find a crystal and complete the legendary Book of Kells. In order to finish Brother Aiden's book, Brendan must overcome his deepest fears on a secret quest that will take him beyond the abbey walls and into the enchanted forest where dangerous mythical creatures hide. Will Brendan succeed in his quest?",384,"Den 12-jährigen Brendan erwartet ein Abenteuer, bei dem er gegen Wikinger und einen Schlangengott kämpfen muss, um einen Kristall zu finden und das legendäre Book of Kells zu vervollständigen. Um das Buch von Bruder Aiden zu vollenden, muss Brendan seine tiefsten Ängste überwinden und sich auf eine geheime Suche begeben, die ihn über die Klostermauern hinaus in den verwunschenen Wald führt, wo sich gefährliche Fabelwesen verstecken. Wird Brendan bei seiner Suche erfolgreich sein?"
51540,Horrible Bosses,"For Nick (Jason Bateman), Kurt (Jason Sudeikis) and Dale (Charlie Day), the only thing that would make the daily grind more tolerable would be to grind their intolerable bosses (Kevin Spacey, Colin Farrell, Jennifer Aniston) into dust. Quitting is not an option, so, with the benefit of a few-too-many drinks and some dubious advice from a hustling ex-con (Jamie Foxx), the three friends devise a convoluted and seemingly foolproof plan to rid themselves of their respective employers... permanently.",500,"Für Nick (Jason Bateman), Kurt (Jason Sudeikis) und Dale (Charlie Day) wäre das Einzige, was den Alltag erträglicher machen würde, wenn sie ihre unerträglichen Chefs (Kevin Spacey, Colin Farrell, Jennifer Aniston) zu Staub zermahlen würden. Kündigen ist keine Option, und so schmieden die drei Freunde nach ein paar zu vielen Drinks und einigen zweifelhaften Ratschlägen eines betrügerischen Ex-Knackis (Jamie Foxx) einen verworrenen und scheinbar idiotensicheren Plan, um ihre jeweiligen Arbeitgeber loszuwerden... für immer."
10585,Child's Play,"A single mother gives her son a beloved doll for his birthday, only to discover that it is possessed with the soul of a serial killer.",134,"Eine alleinerziehende Mutter schenkt ihrem Sohn zum Geburtstag eine geliebte Puppe, von der sie feststellt, dass sie von der Seele eines Serienmörders besessen ist."
10587,Police Academy 4: Citizens on Patrol,"A new batch of recruits arrives at Police Academy, this time a group of civilian volunteers who have joined Commandant Lassard's new Citizens on Patrol program. Although the community relations project has strong governmental support, a disgusted Captain Harris is determined to see it fail.",291,"Eine neue Gruppe von Rekruten trifft an der Polizeiakademie ein, dieses Mal eine Gruppe von zivilen Freiwilligen, die sich dem neuen Programm ""Bürger auf Streife"" von Kommandant Lassard angeschlossen haben. Obwohl das Gemeinschaftsprojekt von der Regierung stark unterstützt wird, ist ein angewiderter Captain Harris entschlossen, es scheitern zu lassen."
10588,Dr. Seuss' The Cat in the Hat,"Conrad and Sally Walden are home alone with their pet fish. It is raining outside, and there is nothing to do. Until The Cat in the Hat walks in the front door. He introduces them to their imagination, and at first it's all fun and games, until things get out of hand, and The Cat must go, go, go, before their parents get back.",328,"Conrad und Sally Walden sind allein zu Hause mit ihrem Zierfisch. Draußen regnet es, und es gibt nichts zu tun. Bis der Kater mit dem Hut zur Haustür hereinkommt. Er führt sie in ihre Fantasie ein, und anfangs ist alles nur Spiel und Spaß, bis die Dinge aus dem Ruder laufen und der Kater gehen muss, gehen, gehen, bevor die Eltern zurückkommen."
18781,The Haunting in Connecticut,"When the Campbell family moves to upstate Connecticut, they soon learn that their charming Victorian home has a disturbing history: not only was the house a transformed funeral parlor where inconceivable acts occurred, but the owner's clairvoyant son Jonah served as a demonic messenger, providing a gateway for spiritual entities to crossover.",344,"Als die Familie Campbell ins Hinterland von Connecticut zieht, erfahren sie bald, dass ihr charmantes viktorianisches Haus eine beunruhigende Geschichte hat: Das Haus war nicht nur ein umgebautes Beerdigungsinstitut, in dem sich unvorstellbare Taten ereigneten, sondern der hellsichtige Sohn Jonah des Besitzers diente auch als dämonischer Bote, der spirituellen Wesenheiten ein Tor zum Übertritt bot."
10590,We Were Soldiers,The story of the first major battle of the American phase of the Vietnam War and the soldiers on both sides that fought it.,123,"Die Geschichte der ersten großen Schlacht der amerikanischen Phase des Vietnamkriegs und der Soldaten auf beiden Seiten, die daran beteiligt waren."
10591,The Girl Next Door,"Exceptionally ambitious high schooler Matthew has aspirations for a career in politics when he falls in love with his gorgeous 19-year-old neighbor, Danielle. But Matthew's bright future is jeopardized when he finds Danielle was once a porn star. As Danielle's past catches up with her, Matthew's love for her forces him to re-evaluate his goals.",346,"Der außerordentlich ehrgeizige Highschool-Schüler Matthew strebt eine Karriere in der Politik an, als er sich in seine wunderschöne 19-jährige Nachbarin Danielle verliebt. Doch Matthews glänzende Zukunft gerät in Gefahr, als er herausfindet, dass Danielle einst ein Pornostar war. Als Danielles Vergangenheit sie einholt, zwingt Matthews Liebe zu ihr ihn dazu, seine Ziele neu zu überdenken."
10592,Hart's War,"Fourth-generation Army Col. William McNamara is imprisoned in a brutal German POW camp. Still, as the senior-ranking American officer, he commands his fellow inmates, keeping a sense of honor alive in a place where honor is easy to destroy, all under the dangerous eye of the Luftwafe vetran Col. Wilhelm Visser. Never giving up the fight to win the war, McNamara is silently planning, waiting for his moment to strike back at the enemy. A murder in the camp gives him the chance to set a risky plan in motion. With a court martial to keep Visser and the Germans distracted, McNamara orchestrates a cunning scheme to escape and destroy a nearby munitions plant, enlisting the unwitting help of young Lt. Tommy Hart. Together with his men, McNamara uses a hero's resolve to carry out his mission, ultimately forced to weigh the value of his life against the good of his country.",877,"William McNamara, Oberst der Armee der vierten Generation, ist in einem brutalen deutschen Kriegsgefangenenlager inhaftiert. Als ranghöchster amerikanischer Offizier befehligt er seine Mitgefangenen und bewahrt sich ein Gefühl der Ehre an einem Ort, an dem Ehre leicht zu zerstören ist, und das alles unter dem gefährlichen Blick des Luftwaffen-Vetraners Oberst Wilhelm Visser. McNamara, der den Kampf um den Sieg im Krieg nie aufgibt, plant im Stillen und wartet auf seinen Moment, um den Feind zurückzuschlagen. Ein Mord im Lager gibt ihm die Gelegenheit, einen riskanten Plan in die Tat umzusetzen. Um Visser und die Deutschen abzulenken, schmiedet McNamara einen raffinierten Plan, um zu fliehen und eine nahe gelegene Munitionsfabrik zu zerstören, wobei er die unwissende Hilfe des jungen Leutnants Tommy Hart in Anspruch nimmt. Zusammen mit seinen Männern führt McNamara seine Mission mit der Entschlossenheit eines Helden aus und ist schließlich gezwungen, den Wert seines Lebens gegen das Wohl seines Landes abzuwägen."
18785,The Hangover,"When three friends finally come to after a raucous night of bachelor-party revelry, they find a baby in the closet and a tiger in the bathroom. But they can't seem to locate their best friend, Doug -- who's supposed to be tying the knot. Launching a frantic search for Doug, the trio perseveres through a nasty hangover to try to make it to the church on time.",360,"Als drei Freunde nach einer rauschenden Nacht des Junggesellenabschieds endlich zu sich kommen, finden sie ein Baby im Schrank und einen Tiger im Badezimmer. Aber sie können ihren besten Freund Doug nicht finden, der eigentlich den Bund fürs Leben schließen sollte. Das Trio beginnt eine verzweifelte Suche nach Doug und versucht trotz eines üblen Katers, rechtzeitig zur Kirche zu kommen."
11323,The Informant!,"A rising star at agri-industry giant Archer Daniels Midland (ADM), Mark Whitacre suddenly turns whistleblower. Even as he exposes his company’s multi-national price-fixing conspiracy to the FBI, Whitacre envisions himself being hailed as a hero of the common man and handed a promotion.",286,"Mark Whitacre, ein aufstrebender Star beim Agrarindustrieriesen Archer Daniels Midland (ADM), wird plötzlich zum Whistleblower. Noch während er die multinationale Preisabsprache seines Unternehmens vor dem FBI aufdeckt, sieht sich Whitacre als Held der einfachen Leute gefeiert und befördert."
10601,Peter Pan,"In stifling Edwardian London, Wendy Darling mesmerizes her brothers every night with bedtime tales of swordplay, swashbuckling and the fearsome Captain Hook. But the children become the heroes of an even greater story, when Peter Pan flies into their nursery one night and leads them over moonlit rooftops through a galaxy of stars and to the lush jungles of Neverland.",369,"Im stickigen edwardianischen London verzaubert Wendy Darling ihre Brüder jeden Abend mit Gutenachtgeschichten über Schwertkämpfe, Säbelrasseln und den furchterregenden Captain Hook. Doch die Kinder werden zu den Helden einer noch größeren Geschichte, als Peter Pan eines Nachts in ihr Kinderzimmer fliegt und sie über mondbeschienene Dächer durch eine Galaxie von Sternen und in den üppigen Dschungel von Nimmerland führt."
10603,George of the Jungle,"Baby George got into a plane crash in a jungle, stayed alive and was adopted by a wise ape. Ursula Stanhope, US noble woman is saved from death on safari by grown-up George, and he takes her to jungle to live with him. He slowly learns a rules of human relationships, while Ursula's lover Lyle is looking for her and the one who took her. After they are found, Ursula takes George to the USA.",392,"Baby George gerät in einen Flugzeugabsturz im Dschungel, überlebt und wird von einem weisen Affen adoptiert. Ursula Stanhope, eine adlige US-Amerikanerin, wird auf einer Safari vom erwachsenen George vor dem Tod gerettet, und er nimmt sie mit in den Dschungel, um mit ihr zu leben. Langsam lernt er die Regeln menschlicher Beziehungen, während Ursulas Geliebter Lyle nach ihr und demjenigen sucht, der sie entführt hat. Nachdem sie gefunden wurden, nimmt Ursula George mit in die USA."
84332,Safety Not Guaranteed,Three magazine employees head out on an assignment to interview a guy who placed a classified ad seeking a companion for time travel.,133,"Drei Mitarbeiter eines Magazins machen sich auf den Weg, um einen Mann zu interviewen, der eine Kleinanzeige aufgegeben hat, in der er einen Begleiter für Zeitreisen sucht."
149870,The Wind Rises,"The Wind Rises is the 11th animated theatrical film directed by Hayao Miyazaki at Studio Ghibli. Based on Miyazaki’s own manga and the 1937 short novel of the same name by Tatsuo Hori, this is the story of Jirō Horikoshi, the aircraft engineer most remembered for his design work on the Mitsubishi A6M Reisen “Zero”, Japan’s famous World War II fighter aircraft. During the WWII years, the Miyazaki family business manufactured aircraft parts, including the windshields and rudders used on the Zero.",499,"The Wind Rises ist der 11. animierte Kinofilm unter der Regie von Hayao Miyazaki vom Studio Ghibli. Basierend auf Miyazakis eigenem Manga und dem gleichnamigen Kurzroman von Tatsuo Hori aus dem Jahr 1937 ist dies die Geschichte von Jirō Horikoshi, dem Flugzeugingenieur, der vor allem für seine Konstruktionsarbeit an der Mitsubishi A6M Reisen ""Zero"", Japans berühmtem Kampfflugzeug aus dem Zweiten Weltkrieg, bekannt ist. In den Jahren des Zweiten Weltkriegs stellte das Familienunternehmen Miyazaki Flugzeugteile her, darunter die Windschutzscheiben und Ruder der Zero."
149871,The Tale of the Princess Kaguya,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her - but ultimately she must confront her fate, the punishment for her crime.",269,"Ein alter Bambusschneider und seine Frau finden in einem leuchtenden Bambushalm ein winziges Mädchen, das sich schnell zu einer exquisiten jungen Dame entwickelt. Die geheimnisvolle junge Prinzessin zieht alle in ihren Bann, die ihr begegnen - doch schließlich muss sie sich ihrem Schicksal stellen, der Strafe für ihr Verbrechen."
10610,The Medallion,A Hong Kong detective suffers a fatal accident involving a mysterious medallion and is transformed into an immortal warrior with superhuman powers.,147,Ein Detektiv aus Hongkong erleidet einen tödlichen Unfall mit einem geheimnisvollen Medaillon und wird in einen unsterblichen Krieger mit übermenschlichen Kräften verwandelt.
84348,V/H/S,"When a group of misfits is hired by an unknown third party to burglarize a desolate house and acquire a rare VHS tape, they discover more found footage than they bargained for.",176,"Als eine Gruppe von Außenseitern von einem unbekannten Dritten angeheuert wird, um in ein verlassenes Haus einzubrechen und eine seltene VHS-Kassette zu erwerben, entdecken sie mehr Found Footage, als sie erwartet haben."
10623,Cradle 2 the Grave,"Gang leader Tony pulls off a major diamond heist with his crew, but cop-turned-criminal Ling knows who has the loot and responds by kidnapping Tony's daughter and holding her for ransom. Unfortunately, Tony's lost the diamonds as well. As he frantically searches for his daughter and the jewels, Tony pairs with a high-kicking government agent who once worked with Ling and seeks revenge on him.",395,"Der Bandenchef Tony hat mit seiner Bande einen großen Diamantenraub durchgeführt, aber die Polizistin Ling, die zur Kriminellen wurde, weiß, wer die Beute hat, und entführt Tonys Tochter, um Lösegeld zu erpressen. Leider hat Tony auch die Diamanten verloren. Während er verzweifelt nach seiner Tochter und den Juwelen sucht, tut sich Tony mit einer hochtrabenden Regierungsagentin zusammen, die einst mit Ling zusammenarbeitete und sich an ihm rächen will."
10625,Mean Girls,"Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.",187,"Cady Heron ist der Hit bei den Plastics, der A-Mädchen-Clique an ihrer neuen Schule, bis sie den Fehler macht, sich in Aaron Samuels zu verlieben, den Ex-Freund von Alpha-Plastic Regina George."
76163,The Expendables 2,"Mr. Church reunites the Expendables for what should be an easy paycheck, but when one of their men is murdered on the job, their quest for revenge puts them deep in enemy territory and up against an unexpected threat.",217,"Mr. Church bringt die Expendables wieder zusammen, um einen einfachen Gehaltsscheck zu erhalten, aber als einer ihrer Männer bei einem Auftrag ermordet wird, führt ihr Rachefeldzug sie tief in feindliches Gebiet und zu einer unerwarteten Bedrohung."
18823,Clash of the Titans,"Born of a god but raised as a man, Perseus is helpless to save his family from Hades, vengeful god of the underworld. With nothing to lose, Perseus volunteers to lead a dangerous mission to defeat Hades before he can seize power from Zeus and unleash hell on earth. Battling unholy demons and fearsome beasts, Perseus and his warriors will only survive if Perseus accepts his power as a god, defies fate and creates his own destiny.",432,"Geboren von einem Gott, aber aufgewachsen wie ein Mensch, ist Perseus hilflos, seine Familie vor Hades, dem rachsüchtigen Gott der Unterwelt, zu retten. Da er nichts zu verlieren hat, meldet sich Perseus freiwillig zu einer gefährlichen Mission, um Hades zu besiegen, bevor dieser die Macht von Zeus übernehmen und die Hölle auf Erden entfesseln kann. Im Kampf gegen unheilige Dämonen und furchterregende Bestien werden Perseus und seine Krieger nur überleben, wenn Perseus seine Macht als Gott akzeptiert, dem Schicksal trotzt und sein eigenes Schicksal gestaltet."
10634,Friday,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do. Encounters with neighbors and other friends over the course of the day and night, and their ensuing antics, make up the rest of the movie.",284,"Craig und Smokey sind zwei Jungs in Los Angeles, die an einem Freitagnachmittag auf ihrer Veranda abhängen, rauchen und trinken und etwas zu tun suchen. Die Begegnungen mit Nachbarn und anderen Freunden im Laufe des Tages und der Nacht und die daraus resultierenden Streiche machen den Rest des Films aus."
190859,American Sniper,"A Navy SEAL recounts his military career, which includes more than 150 confirmed kills.  U.S. Navy SEAL Chris Kyle (Bradley Cooper) takes his sole mission -- protect his comrades -- to heart and becomes one of the most lethal snipers in American history. His pinpoint accuracy not only saves countless lives but also makes him a prime target of insurgents. Despite grave danger and his struggle to be a good husband and father to his family back in the States, Kyle serves four tours of duty in Iraq. However, when he finally returns home, he finds that he cannot leave the war behind.",585,"Ein Navy SEAL erzählt von seiner militärischen Karriere, die mehr als 150 bestätigte Tötungen umfasst.  U.S. Navy SEAL Chris Kyle (Bradley Cooper) nimmt sich seine einzige Mission - den Schutz seiner Kameraden - zu Herzen und wird zu einem der tödlichsten Scharfschützen der amerikanischen Geschichte. Seine Treffsicherheit rettet nicht nur unzählige Menschenleben, sondern macht ihn auch zur Zielscheibe der Aufständischen. Trotz der großen Gefahr und seines Versuchs, seiner Familie in den USA ein guter Ehemann und Vater zu sein, leistet Kyle vier Einsätze im Irak ab. Als er schließlich nach Hause zurückkehrt, muss er jedoch feststellen, dass er den Krieg nicht hinter sich lassen kann."
10637,Remember the Titans,"The year is 1971, and the people of Alexandria, VA. are none too pleased when African American Herman Boone is given the nod to head a newly integrated football team. As the season progresses, however, their contentious attitudes begin to change.",246,"Wir schreiben das Jahr 1971, und die Einwohner von Alexandria, VA, sind nicht gerade erfreut, als der Afroamerikaner Herman Boone die Leitung eines neu integrierten Football-Teams übernimmt. Im Laufe der Saison ändert sich jedoch ihre umstrittene Haltung."
27022,The Sorcerer's Apprentice,"Balthazar Blake is a master sorcerer in modern-day Manhattan trying to defend the city from his arch-nemesis, Maxim Horvath. Balthazar can't do it alone, so he recruits Dave Stutler, a seemingly average guy who demonstrates hidden potential, as his reluctant protégé. The sorcerer gives his unwilling accomplice a crash course in the art and science of magic, and together, these unlikely partners work to stop the forces of darkness.",434,"Balthazar Blake ist ein Meisterzauberer im modernen Manhattan, der versucht, die Stadt gegen seinen Erzfeind Maxim Horvath zu verteidigen. Balthazar schafft es nicht allein, also rekrutiert er Dave Stutler, einen scheinbar durchschnittlichen Kerl, der verborgenes Potenzial zeigt, als seinen widerwilligen Schützling. Der Zauberer gibt seinem unwilligen Komplizen einen Crashkurs in der Kunst und Wissenschaft der Magie, und gemeinsam arbeiten die beiden ungleichen Partner daran, die Mächte der Finsternis aufzuhalten."
2454,The Chronicles of Narnia: Prince Caspian,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",437,"Ein Jahr nach ihren unglaublichen Abenteuern in Der Löwe, die Hexe und der Kleiderschrank kehren Peter, Edmund, Lucy und Susan Pevensie nach Narnia zurück, um einem jungen Prinzen zu helfen, dessen Leben durch den bösen König Miraz bedroht ist. Mit Hilfe einer bunten Schar neuer Charaktere, darunter Trüffeljäger, der Dachs, und Nikabrik, der Zwerg, begibt sich der Pevensie-Clan nun auf eine unglaubliche Suche, um sicherzustellen, dass Narnia seinem rechtmäßigen Erben zurückgegeben wird."
10647,Pay It Forward,"Like some other kids, 12-year-old Trevor McKinney believed in the goodness of human nature. Like many other kids, he was determined to change the world for the better. Unlike most other kids, he succeeded.",205,"Wie einige andere Kinder glaubte auch der 12-jährige Trevor McKinney an das Gute in der menschlichen Natur. Wie viele andere Kinder war er entschlossen, die Welt zum Besseren zu verändern. Im Gegensatz zu den meisten anderen Kindern hatte er Erfolg."
51608,The Man from Nowhere,"His only friend called him 'the man from nowhere'... Taesik, a former special agent becomes a loner after losing his wife in a miserable accident and lives a bitter life running a pawnshop. He only has a few customers and a friend named Somi, a little girl next door. As Taesik spends more and more time with Somi, he gets attached to her. Then Somi is kidnapped by a gang, and as Taesik tries to save Somi by becoming deeply associated with the gang his mysterious past is revealed...",485,"Sein einziger Freund nannte ihn ""den Mann aus dem Nichts""... Taesik, ein ehemaliger Spezialagent, wird zum Einzelgänger, nachdem er seine Frau bei einem unglücklichen Unfall verloren hat, und führt ein bitteres Leben als Betreiber eines Pfandhauses. Er hat nur ein paar Kunden und eine Freundin namens Somi, ein kleines Mädchen von nebenan. Da Taesik immer mehr Zeit mit Somi verbringt, wächst seine Zuneigung zu ihr. Dann wird Somi von einer Bande entführt, und als Taesik versucht, Somi zu retten, indem er sich eng mit der Bande verbündet, wird seine geheimnisvolle Vergangenheit enthüllt..."
190880,"Me, Myself and Mum","How to become a man when your mother and your closed circle have decided otherwise? This is the challenge Guillaume took up. The film recounts Guillaume's tragicomic battle from the young age of eight, as he adopts the role of a girl then of a homosexual... until, aged 30, he meets the woman who, after his mother, will become the other woman in his life. Beyond this story of a heterosexual coming-out, the film tells the tale of an actor who never stopped loving women, maybe even a little too much.",502,"Wie wird man ein Mann, wenn die eigene Mutter und der engste Freundeskreis etwas anderes beschlossen haben? Das ist die Herausforderung, der sich Guillaume stellt. Der Film erzählt den tragikomischen Kampf von Guillaume ab dem Alter von acht Jahren, als er die Rolle eines Mädchens, dann die eines Homosexuellen annimmt... bis er im Alter von 30 Jahren die Frau trifft, die nach seiner Mutter die andere Frau in seinem Leben sein wird. Über diese Geschichte eines heterosexuellen Coming-outs hinaus erzählt der Film die Geschichte eines Schauspielers, der nie aufgehört hat, Frauen zu lieben, vielleicht sogar ein bisschen zu sehr."
51620,Death Race 2,"In the world's most dangerous prison, a new game is born: Death Race. The rules of this adrenaline-fueled blood sport are simple, drive or die. When repentant convict Carl Lucas discovers there's a price on his head, his only hope is to survive a twisted race against an army of hardened criminals and tricked-out cars.",319,"Im gefährlichsten Gefängnis der Welt wird ein neues Spiel geboren: Death Race. Die Regeln dieses adrenalingeladenen Blutsports sind einfach: Fahren oder sterben. Als der reuige Sträfling Carl Lucas erfährt, dass ein Kopfgeld auf ihn ausgesetzt ist, besteht seine einzige Hoffnung darin, ein verrücktes Rennen gegen eine Armee von hartgesottenen Kriminellen und aufgemotzten Autos zu überleben."
10661,You Don't Mess With the Zohan,An Israeli counterterrorism soldier with a secretly fabulous ambition to become a Manhattan hairstylist. Zohan's desire runs so deep that he'll do anything -- including faking his own death and going head-to-head with an Arab cab driver -- to make his dreams come true.,269,"Ein israelischer Anti-Terror-Soldat, der insgeheim den märchenhaften Ehrgeiz hat, ein Friseur in Manhattan zu werden. Zohans Sehnsucht geht so weit, dass er alles tun würde, um seine Träume zu verwirklichen. Er täuscht sogar seinen eigenen Tod vor und legt sich mit einem arabischen Taxifahrer an."
10663,The Waterboy,Bobby Boucher is a water boy for a struggling college football team. The coach discovers Boucher's hidden rage makes him a tackling machine whose bone-crushing power might vault his team into the playoffs.,205,"Bobby Boucher ist ein Wasserträger für ein angeschlagenes College-Football-Team. Der Trainer entdeckt, dass Bouchers versteckte Wut ihn zu einer Tackling-Maschine macht, deren knochenbrechende Kraft sein Team in die Playoffs bringen könnte."
10664,[REC]²,"The action continues from [REC], with the medical officer and a SWAT team outfitted with video cameras are sent into the sealed off apartment to control the situation.",167,"Ab [REC] geht es weiter: Der Sanitäter und ein mit Videokameras ausgestattetes SWAT-Team werden in die abgeriegelte Wohnung geschickt, um die Situation zu kontrollieren."
10665,The Strangers,"After returning from a wedding reception, a couple staying in an isolated vacation house receive a knock on the door in the mid-hours of the night. What ensues is a violent invasion by three strangers, their faces hidden behind masks. The couple find themselves in a violent struggle, in which they go beyond what either of them thought capable in order to survive.",365,"Nach der Rückkehr von einer Hochzeitsfeier wird ein Ehepaar, das in einem abgelegenen Ferienhaus wohnt, mitten in der Nacht durch ein Klopfen an der Tür gestört. Es folgt ein gewaltsamer Überfall durch drei Fremde, deren Gesichter hinter Masken verborgen sind. Das Paar findet sich in einem gewalttätigen Kampf wieder, in dem sie über das hinausgehen, was sie sich selbst zugetraut haben, um zu überleben."
76203,12 Years a Slave,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.",377,"In der Zeit vor dem Bürgerkrieg in den Vereinigten Staaten wird Solomon Northup, ein freier schwarzer Mann aus dem Hinterland von New York, entführt und in die Sklaverei verkauft. Solomon ist sowohl mit Grausamkeiten als auch mit unerwarteter Freundlichkeit konfrontiert und kämpft nicht nur um sein Überleben, sondern auch darum, seine Würde zu bewahren. Im zwölften Jahr seiner unvergesslichen Odyssee trifft Solomon zufällig auf einen kanadischen Abolitionisten, der sein Leben für immer verändern wird."
10669,Deliverance,"Intent on seeing the Cahulawassee River before it's turned into one huge lake, outdoor fanatic Lewis Medlock takes his friends on a river-rafting trip they'll never forget into the dangerous American back-country.",213,"Der Outdoor-Fan Lewis Medlock will den Cahulawassee River sehen, bevor er sich in einen riesigen See verwandelt, und nimmt seine Freunde mit auf einen unvergesslichen River-Rafting-Trip ins gefährliche amerikanische Hinterland."
92591,Bernie,"In this true story in the tiny, rural town of Carthage, TX, assistant funeral director Bernie Tiede was one of the town's most beloved residents. He taught Sunday school, sang in the church choir and was always willing to lend a helping hand. Everyone loved and appreciated Bernie, so it came as no surprise when he befriended Marjorie Nugent, an affluent widow who was as well known for her sour attitude as her fortune. Bernie frequently traveled with Marjorie and even managed her banking affairs. Marjorie quickly became fully dependent on Bernie and his generosity and Bernie struggled to meet her increasing demands. Bernie continued to handle her affairs, and the townspeople went months without seeing Marjorie. The people of Carthage were shocked when it was reported that Marjorie Nugent had been dead for some time, and Bernie Tiede was being charged with the murder.",878,"In dieser wahren Geschichte aus der kleinen, ländlichen Stadt Carthage, TX, war der stellvertretende Bestattungsunternehmer Bernie Tiede einer der beliebtesten Einwohner der Stadt. Er unterrichtete in der Sonntagsschule, sang im Kirchenchor und war immer bereit, mit anzupacken. Alle liebten und schätzten Bernie, und so war es nicht verwunderlich, dass er sich mit Marjorie Nugent anfreundete, einer wohlhabenden Witwe, die für ihre mürrische Einstellung ebenso bekannt war wie für ihr Vermögen. Bernie reiste häufig mit Marjorie und verwaltete sogar ihre Bankgeschäfte. Marjorie wurde schnell völlig abhängig von Bernie und seiner Großzügigkeit, und Bernie hatte Mühe, ihre wachsenden Ansprüche zu erfüllen. Bernie kümmerte sich weiterhin um ihre Angelegenheiten, und die Stadtbewohner sahen Marjorie monatelang nicht. Die Einwohner von Carthage waren schockiert, als bekannt wurde, dass Marjorie Nugent bereits seit einiger Zeit tot war und Bernie Tiede des Mordes angeklagt wurde."
10673,Wall Street,"A young and impatient stockbroker is willing to do anything to get to the top, including trading on illegal inside information taken through a ruthless and greedy corporate raider whom takes the youth under his wing.",216,"Ein junger und ungeduldiger Börsenmakler ist bereit, alles zu tun, um an die Spitze zu gelangen, einschließlich des Handels mit illegalen Insider-Informationen, die er von einem skrupellosen und gierigen Firmenräuber erhalten hat, der den jungen Mann unter seine Fittiche nimmt."
10674,Mulan,"A tomboyish girl disguises herself as a young man so she can fight with the Imperial Chinese Army against the invading Huns. With help from wise-cracking dragon Mushu, Mulan just might save her country -- and win the heart of handsome Captain Li Shang.",252,"Ein burschikoses Mädchen verkleidet sich als junger Mann, um mit der kaiserlichen chinesischen Armee gegen die einfallenden Hunnen zu kämpfen. Mit Hilfe des klugen Drachen Mushu kann Mulan ihr Land retten - und das Herz des hübschen Hauptmanns Li Shang gewinnen."
2486,Eragon,"In his homeland of Alagaesia, a farm boy happens upon a dragon's egg -- a discovery that leads him on a predestined journey where he realized he's the one person who can defend his home against an evil king.",207,"In seiner Heimat Alagaesia stößt ein Bauernjunge zufällig auf ein Drachenei - eine Entdeckung, die ihn auf eine prädestinierte Reise führt, auf der er erkennt, dass er die einzige Person ist, die seine Heimat gegen einen bösen König verteidigen kann."
10679,Iron Sky,"In the last moments of World War II, a secret Nazi space program evaded destruction by fleeing to the Dark Side of the Moon. During 70 years of utter secrecy, the Nazis construct a gigantic space fortress with a massive armada of flying saucers.",245,"In den letzten Momenten des Zweiten Weltkriegs entgeht ein geheimes Weltraumprogramm der Nazis der Zerstörung, indem es auf die dunkle Seite des Mondes flieht. In 70 Jahren absoluter Geheimhaltung bauen die Nazis eine gigantische Weltraumfestung mit einer riesigen Armada von fliegenden Untertassen."
10681,WALL·E,"WALL•E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot, WALL•E thinks he's finally found a friend and stows away on the ship when it leaves.",379,"WALL-E ist der letzte verbliebene Roboter auf einer Erde, die von Müll überflutet wurde und aus der alle Menschen ins Weltall geflohen sind. Seit 700 Jahren versucht er, das Chaos zu beseitigen, hat dabei aber einige interessante menschenähnliche Eigenschaften entwickelt. Als ein Schiff mit einem eleganten neuen Robotertyp eintrifft, glaubt WALL-E, endlich einen Freund gefunden zu haben, und versteckt sich auf dem Schiff, als es abfliegt."
